Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
Erlanger Health,TN,Healthcare Provider,4237.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wisconsin Department of Health Services,WI,Health Plan,8157.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Virta Health,CO,Business Associate,602.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Community Health Center of Buffalo Inc.,NY,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Columbia Orthopaedic Group,MO,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Family Health Centers of Southern Indiana,IL,Healthcare Provider,7117.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blue Fish Pediatrics,TX,Healthcare Provider,62150.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aitkin County Health and Human Services,MN,Business Associate,83114.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gail J May Ltd d/b/a/ Insight Optical,IL,Healthcare Provider,501.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Decatur Diagnostic Laboratory Inc.,AL,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ohio Living,OH,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clinical Registry Solutions,NY,Business Associate,8545.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chickasaw Nation Department of Health,OK,Healthcare Provider,1607.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Open Arms Care Corporation,TN,Healthcare Provider,893.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Erick Perroud,MI,Healthcare Provider,7692.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trinity Health System,MI,Business Associate,2480.0,2026,Unauthorized Access/Disclosure,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Monaco & Associates Incorporated,KS,Healthcare Provider,534.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lutheran Home for the Aged,MO,Healthcare Provider,2311.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sturdy Health, Inc.",MA,Healthcare Provider,1006.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"UnitedHealth Care Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,34574.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Signature Healthcare Corporation,MA,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Minnesota Epilepsy Group, P.A.",MN,Healthcare Provider,80061.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Xsolis, Inc.",TN,Business Associate,1396519.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MVP VIP Holdco dba Heart of America Eye Care,MO,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Gay & Lesbian Community Services Center of Orange County, Inc.",CA,Healthcare Provider,75532.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
McLeod Physician Associates II,SC,Healthcare Provider,19553.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
City of Middletown,OH,Healthcare Provider,20608.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Amicus Solutions, Inc. (additional related entities may be impacted, the names of which are available upon request)",SC,Business Associate,1137.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
All About Women's Care,CO,Healthcare Provider,12000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Henry Rossi & Company, LLP",PA,Business Associate,2720.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Waveny LifeCare Network, Inc.",CT,Healthcare Provider,27113.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JASON R EGBERT OD PC,WA,Healthcare Provider,1225.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Medenet Inc.,FL,Business Associate,1387.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
United Medical Doctors,CA,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Campbell University,NC,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Carlyle Senior Care Management Company, Inc.",SC,Business Associate,4060.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ERMI LLC,GA,Healthcare Provider,74074.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Virta Medical PC,CO,Healthcare Provider,14636.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nottingham Village,PA,Healthcare Provider,5240.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Oakwood Lutheran Senior Ministries, Inc.",WI,Healthcare Provider,1080.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Southern Illinois Ob-Gyn Associates, S.C.",IL,Healthcare Provider,38700.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Acadia Healthcare Company, Inc",TN,Business Associate,1807.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"South Florida Injury Centers, Inc.",FL,Healthcare Provider,1525.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Equinix Incorporated Group Health and Welfare Benefit Plan,CA,Health Plan,677.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gastro Health,FL,Healthcare Provider,1628.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gastro Health,FL,Healthcare Provider,35632.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AUTOAPS LLC,CA,Business Associate,1591.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ira L. Savetsky, MD PLLC",NY,Healthcare Provider,564.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Coastal Carolina Centers of Urology and Surgery, LLC",SC,Healthcare Provider,2886.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Defense Health Agency (TriWest),VA,Health Plan,11848.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Regence,OR,Health Plan,2856.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Radiology Associates of Richmond,VA,Healthcare Provider,266183.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Southwest Behavioral Health Services.org,AZ,Healthcare Provider,2316.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Singing River Health System,MS,Healthcare Provider,53888.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Eyemart Express, LLC",TX,Healthcare Provider,25000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Community Connections,DC,Healthcare Provider,18943.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Greenbaum Rowe Smith & Davis LLP,NJ,Business Associate,12801.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Centers for Dialysis Care,OH,Healthcare Provider,8000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lumexa Imaging,NC,Healthcare Provider,2994.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Liberty Solutions, Inc.",NY,Business Associate,7329.0,2026,Unauthorized Access/Disclosure,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"NJ Pain Care Specialists, LLC",NJ,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bridle Trails Family Dentistry,WA,Healthcare Provider,20976.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pivot Health,FL,Business Associate,5864.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ocelot Ventures, LLC dba Excelas",OH,Business Associate,2275.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adams County Memorial Hospital,IN,Healthcare Provider,5305.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Saurabh N. Patel, M.D – Florida Retina Center",LA,Healthcare Provider,13652.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"ViaQuest Psychiatric & Behavioral Solutions, LLC",OH,Healthcare Provider,6420.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Palomar Health Medical Group,CA,Healthcare Provider,501.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bronsky Orthodontics,NY,Healthcare Provider,3183.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Verber Dental Group PC,NY,Healthcare Provider,8598.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sanger Skilled Care, LLC dba Cornerstone Care Center",CA,Healthcare Provider,1510.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Passaic County, New Jersey",NJ,Business Associate,1109.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aroostook Mental Health Center,ME,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IKRON Corporation,OH,Healthcare Provider,11845.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Western Orthopaedics, P.C.",CO,Healthcare Provider,113330.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Integrated Pain Associates,TX,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CUNNINGHAM PROSTHETIC CARE LLC,ME,Healthcare Provider,2523.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NCH Corporation Employee Benefits Plan,TX,Health Plan,4055.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
University of Michigan/Michigan Medicine,MI,Healthcare Provider,551.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capitol Pain Institute,CO,Healthcare Provider,695.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mt. Spokane Pediatrics,WA,Healthcare Provider,32021.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Totem Lake Family Dentistry,WA,Healthcare Provider,3464.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Northwoods Surgery Center,MN,Healthcare Provider,5385.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tri-Cities Gastroenterology,TN,Healthcare Provider,67115.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"FMRS Health Systems, Inc.",WV,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"C2N Diagnostics, LLC",MO,Healthcare Provider,2027.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hematology Oncology Consultants,MI,Healthcare Provider,62972.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Florida Physician Specialists,FL,Healthcare Provider,276498.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"GrayRobinson, P.A.",FL,Business Associate,54131.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aldrich Pediatric Dentistry,IN,Healthcare Provider,5900.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stewart Home & School,KY,Healthcare Provider,3677.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Belmont Aesthetic and Reconstructive Plastic Surgery,VA,Healthcare Provider,528.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Laurel Eye Clinic,PA,Healthcare Provider,145221.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harbor Developmental Disabilities Foundation (d/b/a Harbor Regional Center),CA,Business Associate,2287.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Spokane Digestive Disease Center, P.S.",WA,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Prime Care 12 Priority Health,WV,Healthcare Provider,1000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"ASC Ortho Management Company, LLC  d/b/a Aligned Orthopedic Partners",MD,Healthcare Provider,7213.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bayside Dental,WA,Healthcare Provider,10216.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
University of Nebraska Medical Center,NE,Healthcare Provider,26937.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Innovative Scientific Solutions, LLC",SC,Healthcare Provider,143842.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NJ Division of Developmental Disabilities - Hunterdon Developmental Center,NJ,Healthcare Provider,807.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Mazzola Mardon, P.C.",NY,Business Associate,2123.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"City Health, a medical corporation",CA,Healthcare Provider,65000.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Defense Health Agency,VA,Health Plan,1300.0,2026,Unauthorized Access/Disclosure,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Springfield Hospital,VT,Healthcare Provider,5892.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARE Clinic,MN,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"CardioFit Medical Group, Inc.",CA,Healthcare Provider,7243.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heart South Cardiovascular Group,AL,Healthcare Provider,46666.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hospital Caribbean Medical Center,,Healthcare Provider,92000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Shore Gardens Rehabilitation and Nursing Center, LLC",PA,Healthcare Provider,755.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Option Care Health, Inc.",IL,Healthcare Provider,1891.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Grandview Family Medicine,UT,Healthcare Provider,13310.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LifeSpring Home Care,OK,Healthcare Provider,7509.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Rocky Mountain Associated Physicians, P.C.",UT,Healthcare Provider,50640.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Village Heart Seller, PC d/b/a Village Heart & Vein Center",FL,Healthcare Provider,687.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Southern Illinois Dermatology,IL,Healthcare Provider,160312.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Interventional Pain Center, PLLC",TN,Healthcare Provider,3171.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Waterford Surgical Center,MI,Healthcare Provider,9000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
J. Arthur Trudeau Memorial Center,RI,Healthcare Provider,5630.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Austin Plastic and Reconstructive Surgery,TX,Healthcare Provider,4266.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Healthcare In Action,CA,Healthcare Provider,1143.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nacogdoches Memorial Hospital n,TX,Healthcare Provider,2507073.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Town of Apex, North Carolina",NC,Health Plan,970.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lumio Dental,OK,Business Associate,500.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
University Medical Center of Southern Nevada,NV,Healthcare Provider,1221.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Glendora Surgery Center,CA,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Erie Family Health Centers,IL,Healthcare Provider,570000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rocky Mountain Care,UT,Business Associate,500.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Proxycare, Inc.",FL,Healthcare Provider,45196.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,,Healthcare Provider,24236.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Medi-Rents & Sales, Inc.",MD,Healthcare Provider,1524.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Clarinda Regional Health Center,IA,Healthcare Provider,24341.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
New York City Health and Hospitals Corporation,NY,Healthcare Provider,1800000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Coastal Carolina Health Care, PA",NC,Healthcare Provider,110304.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Secure Health Plans of Georgia, LLC",GA,Business Associate,501.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Rosch Visionary Systems, Inc.",NY,Business Associate,500.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Mays Housecall Home Health, Inc.",TX,Healthcare Provider,5208.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Complete Eye Care dba Orem Eye Clinic,UT,Healthcare Provider,5800.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
New Horizons Behavioral Health,GA,Healthcare Provider,500.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stockton Cardiology Medical Group,CA,Healthcare Provider,90000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Navia Benefit Solutions, Inc.",WA,Business Associate,2151330.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The South Alabama Regional Planning Commission,AL,Business Associate,3043.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"OpenLoop Health, Inc.",IA,Business Associate,716000.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,6173.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Good Samaritan Health Center,GA,Healthcare Provider,10000.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Renovo Chiropractic & Wellness,WA,Healthcare Provider,538.0,2026,Theft,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UPMC,PA,Healthcare Provider,687.0,2026,Unauthorized Access/Disclosure,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Georgia Vascual Specialists PC,GA,Healthcare Provider,600.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trinity Health,MI,Business Associate,2740.0,2026,Unauthorized Access/Disclosure,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Bloom Circle, Inc. d/b/a Lena Health",TX,Business Associate,3651.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MedPeds Associates of Sarasota,FL,Healthcare Provider,22017.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
East Carolina Anesthesia Associates,NC,Healthcare Provider,19408.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Team Select,AZ,Healthcare Provider,949.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
illumifin Corporation,MN,Business Associate,5385.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Delta Medical Systems,WI,Business Associate,1574.0,2026,Hacking/IT Incident,Yes,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Community Health Action of Staten Island,NY,Healthcare Provider,501.0,2026,Hacking/IT Incident,No,False,No narrative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
