Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
Mississippi Sports Medicine and Orthopaedic Center,MS,Healthcare Provider,21315.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"North Alabama Bone & Joint Clinic, P.C.",AL,Healthcare Provider,500.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Covenant Care California, LLC, on behalf of Wagner Heights Nursing and Rehabilitation Center",CA,Healthcare Provider,23093.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
"CareSource, Inc",OH,Health Plan,959.0,2022,Unauthorized Access/Disclosure,Yes,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720.0,2022,Unauthorized Access/Disclosure,No,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
"WellDyneRx, LLC",FL,Healthcare Provider,5122.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Optum, Inc.",MN,Business Associate,1584.0,2022,Unauthorized Access/Disclosure,Yes,True,Other / unspecified,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
SAC Health System,CA,Healthcare Provider,77842.0,2022,Theft,No,True,Stolen device / burglary,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
Greater Nashua Mental Health,NH,Healthcare Provider,1085.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False
Vail Health Services,CO,Healthcare Provider,41889.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False
Thompson Child & Family Focus,NC,Healthcare Provider,986.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Kenosha Community Health Center,WI,Healthcare Provider,2688.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
"Shutterfly, LLC",CA,Business Associate,2641.0,2022,Unauthorized Access/Disclosure,Yes,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
FPS Medical Center,AZ,Healthcare Provider,28024.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False
"National Imaging Associates, Inc.",MD,Business Associate,744.0,2022,Unauthorized Access/Disclosure,Yes,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False
Methodist Le Bonheur Healthcare,TN,Healthcare Provider,1370.0,2022,Unauthorized Access/Disclosure,No,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
Ad Astra Eye LLC,KS,Healthcare Provider,3684.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
Salusive Health Inc. MyNurse,CA,Healthcare Provider,1072.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False
Refuah Health Center,NY,Healthcare Provider,260740.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The People Concern,CA,Healthcare Provider,7600.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
"Regional Eye Associates, Inc. & Surgical Eye Center of Morgantown",WV,Healthcare Provider,194035.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,7873.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
"Sterling Healthcare Holdings, LLC DBA Cordant Health Solutions",CO,Healthcare Provider,20932.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False
Affiliated Eye Surgeons,MI,Healthcare Provider,23377.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
SUMMIT EYE ASSOCIATES P.C.,TN,Healthcare Provider,53818.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Southern Ohio Medical Center,OH,Healthcare Provider,15136.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
"Select Benefits Group, LLC dba Dental Select",UT,Business Associate,1035.0,2022,Hacking/IT Incident,Yes,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
ARcare,AR,Healthcare Provider,345353.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
