Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Erlanger Health,TN,Healthcare Provider,4237.0,2026-07-01,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Wisconsin Department of Health Services,WI,Health Plan,8157.0,2026-07-01,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Under Investigation,2
Virta Health,CO,Business Associate,602.0,2026-06-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Community Health Center of Buffalo Inc.,NY,Healthcare Provider,501.0,2026-06-19,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Columbia Orthopaedic Group,MO,Healthcare Provider,500.0,2026-06-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Family Health Centers of Southern Indiana,IL,Healthcare Provider,7117.0,2026-06-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Blue Fish Pediatrics,TX,Healthcare Provider,62150.0,2026-06-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Aitkin County Health and Human Services,MN,Business Associate,83114.0,2026-06-17,2026,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Under Investigation,3
Gail J May Ltd d/b/a/ Insight Optical,IL,Healthcare Provider,501.0,2026-06-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Decatur Diagnostic Laboratory Inc.,AL,Healthcare Provider,500.0,2026-06-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Ohio Living,OH,Healthcare Provider,500.0,2026-06-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Clinical Registry Solutions,NY,Business Associate,8545.0,2026-06-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Chickasaw Nation Department of Health,OK,Healthcare Provider,1607.0,2026-06-11,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Open Arms Care Corporation,TN,Healthcare Provider,893.0,2026-06-11,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Dr. Erick Perroud,MI,Healthcare Provider,7692.0,2026-06-10,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Trinity Health System,MI,Business Associate,2480.0,2026-06-10,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Under Investigation,3
Monaco & Associates Incorporated,KS,Healthcare Provider,534.0,2026-06-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Lutheran Home for the Aged,MO,Healthcare Provider,2311.0,2026-06-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Sturdy Health, Inc.",MA,Healthcare Provider,1006.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"UnitedHealth Care Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,34574.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
Signature Healthcare Corporation,MA,Healthcare Provider,500.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Minnesota Epilepsy Group, P.A.",MN,Healthcare Provider,80061.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Xsolis, Inc.",TN,Business Associate,1396519.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
MVP VIP Holdco dba Heart of America Eye Care,MO,Healthcare Provider,500.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Gay & Lesbian Community Services Center of Orange County, Inc.",CA,Healthcare Provider,75532.0,2026-06-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
McLeod Physician Associates II,SC,Healthcare Provider,19553.0,2026-06-04,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
City of Middletown,OH,Healthcare Provider,20608.0,2026-06-03,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Amicus Solutions, Inc. (additional related entities may be impacted, the names of which are available upon request)",SC,Business Associate,1137.0,2026-06-03,2026,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,Under Investigation,3
All About Women's Care,CO,Healthcare Provider,12000.0,2026-06-03,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Henry Rossi & Company, LLP",PA,Business Associate,2720.0,2026-06-02,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Waveny LifeCare Network, Inc.",CT,Healthcare Provider,27113.0,2026-06-02,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
JASON R EGBERT OD PC,WA,Healthcare Provider,1225.0,2026-06-02,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Medenet Inc.,FL,Business Associate,1387.0,2026-06-01,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
United Medical Doctors,CA,Healthcare Provider,501.0,2026-05-29,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Campbell University,NC,Healthcare Provider,500.0,2026-05-29,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Carlyle Senior Care Management Company, Inc.",SC,Business Associate,4060.0,2026-05-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
ERMI LLC,GA,Healthcare Provider,74074.0,2026-05-26,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Virta Medical PC,CO,Healthcare Provider,14636.0,2026-05-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Nottingham Village,PA,Healthcare Provider,5240.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Oakwood Lutheran Senior Ministries, Inc.",WI,Healthcare Provider,1080.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Southern Illinois Ob-Gyn Associates, S.C.",IL,Healthcare Provider,38700.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Acadia Healthcare Company, Inc",TN,Business Associate,1807.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Under Investigation,3
"South Florida Injury Centers, Inc.",FL,Healthcare Provider,1525.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Equinix Incorporated Group Health and Welfare Benefit Plan,CA,Health Plan,677.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
Gastro Health,FL,Healthcare Provider,1628.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Gastro Health,FL,Healthcare Provider,35632.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
AUTOAPS LLC,CA,Business Associate,1591.0,2026-05-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Ira L. Savetsky, MD PLLC",NY,Healthcare Provider,564.0,2026-05-21,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Coastal Carolina Centers of Urology and Surgery, LLC",SC,Healthcare Provider,2886.0,2026-05-21,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Defense Health Agency (TriWest),VA,Health Plan,11848.0,2026-05-21,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
Regence,OR,Health Plan,2856.0,2026-05-21,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
Radiology Associates of Richmond,VA,Healthcare Provider,266183.0,2026-05-21,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Southwest Behavioral Health Services.org,AZ,Healthcare Provider,2316.0,2026-05-20,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Singing River Health System,MS,Healthcare Provider,53888.0,2026-05-19,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Eyemart Express, LLC",TX,Healthcare Provider,25000.0,2026-05-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Community Connections,DC,Healthcare Provider,18943.0,2026-05-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Greenbaum Rowe Smith & Davis LLP,NJ,Business Associate,12801.0,2026-05-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Centers for Dialysis Care,OH,Healthcare Provider,8000.0,2026-05-15,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Lumexa Imaging,NC,Healthcare Provider,2994.0,2026-05-15,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Liberty Solutions, Inc.",NY,Business Associate,7329.0,2026-05-15,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Under Investigation,3
"NJ Pain Care Specialists, LLC",NJ,Healthcare Provider,501.0,2026-05-14,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Bridle Trails Family Dentistry,WA,Healthcare Provider,20976.0,2026-05-14,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Pivot Health,FL,Business Associate,5864.0,2026-05-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Ocelot Ventures, LLC dba Excelas",OH,Business Associate,2275.0,2026-05-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Adams County Memorial Hospital,IN,Healthcare Provider,5305.0,2026-05-11,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Saurabh N. Patel, M.D – Florida Retina Center",LA,Healthcare Provider,13652.0,2026-05-11,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"ViaQuest Psychiatric & Behavioral Solutions, LLC",OH,Healthcare Provider,6420.0,2026-05-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Palomar Health Medical Group,CA,Healthcare Provider,501.0,2026-05-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Bronsky Orthodontics,NY,Healthcare Provider,3183.0,2026-05-08,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Verber Dental Group PC,NY,Healthcare Provider,8598.0,2026-05-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Sanger Skilled Care, LLC dba Cornerstone Care Center",CA,Healthcare Provider,1510.0,2026-05-07,2026,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,Under Investigation,0
"Passaic County, New Jersey",NJ,Business Associate,1109.0,2026-05-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Aroostook Mental Health Center,ME,Healthcare Provider,501.0,2026-05-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
IKRON Corporation,OH,Healthcare Provider,11845.0,2026-05-04,2026,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,Under Investigation,0
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,500.0,2026-05-04,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Western Orthopaedics, P.C.",CO,Healthcare Provider,113330.0,2026-05-01,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Integrated Pain Associates,TX,Healthcare Provider,500.0,2026-05-01,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
CUNNINGHAM PROSTHETIC CARE LLC,ME,Healthcare Provider,2523.0,2026-05-01,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
NCH Corporation Employee Benefits Plan,TX,Health Plan,4055.0,2026-05-01,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
University of Michigan/Michigan Medicine,MI,Healthcare Provider,551.0,2026-05-01,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Capitol Pain Institute,CO,Healthcare Provider,695.0,2026-05-01,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Mt. Spokane Pediatrics,WA,Healthcare Provider,32021.0,2026-04-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Totem Lake Family Dentistry,WA,Healthcare Provider,3464.0,2026-04-30,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Northwoods Surgery Center,MN,Healthcare Provider,5385.0,2026-04-29,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Tri-Cities Gastroenterology,TN,Healthcare Provider,67115.0,2026-04-29,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"FMRS Health Systems, Inc.",WV,Healthcare Provider,500.0,2026-04-28,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"C2N Diagnostics, LLC",MO,Healthcare Provider,2027.0,2026-04-27,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Hematology Oncology Consultants,MI,Healthcare Provider,62972.0,2026-04-24,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Florida Physician Specialists,FL,Healthcare Provider,276498.0,2026-04-24,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"GrayRobinson, P.A.",FL,Business Associate,54131.0,2026-04-24,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Aldrich Pediatric Dentistry,IN,Healthcare Provider,5900.0,2026-04-24,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Stewart Home & School,KY,Healthcare Provider,3677.0,2026-04-23,2026,Hacking/IT Incident,Hacking/IT Incident,"Email, Network Server",No,Under Investigation,0
Belmont Aesthetic and Reconstructive Plastic Surgery,VA,Healthcare Provider,528.0,2026-04-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Laurel Eye Clinic,PA,Healthcare Provider,145221.0,2026-04-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Harbor Developmental Disabilities Foundation (d/b/a Harbor Regional Center),CA,Business Associate,2287.0,2026-04-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Spokane Digestive Disease Center, P.S.",WA,Healthcare Provider,501.0,2026-04-20,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Prime Care 12 Priority Health,WV,Healthcare Provider,1000.0,2026-04-20,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"ASC Ortho Management Company, LLC  d/b/a Aligned Orthopedic Partners",MD,Healthcare Provider,7213.0,2026-04-17,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Bayside Dental,WA,Healthcare Provider,10216.0,2026-04-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
University of Nebraska Medical Center,NE,Healthcare Provider,26937.0,2026-04-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Innovative Scientific Solutions, LLC",SC,Healthcare Provider,143842.0,2026-04-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
NJ Division of Developmental Disabilities - Hunterdon Developmental Center,NJ,Healthcare Provider,807.0,2026-04-17,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Under Investigation,1
"Mazzola Mardon, P.C.",NY,Business Associate,2123.0,2026-04-15,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"City Health, a medical corporation",CA,Healthcare Provider,65000.0,2026-04-14,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
Defense Health Agency,VA,Health Plan,1300.0,2026-04-14,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Under Investigation,2
Springfield Hospital,VT,Healthcare Provider,5892.0,2026-04-10,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
CARE Clinic,MN,Healthcare Provider,500.0,2026-04-10,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"CardioFit Medical Group, Inc.",CA,Healthcare Provider,7243.0,2026-04-09,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Under Investigation,1
Heart South Cardiovascular Group,AL,Healthcare Provider,46666.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Hospital Caribbean Medical Center,,Healthcare Provider,92000.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Shore Gardens Rehabilitation and Nursing Center, LLC",PA,Healthcare Provider,755.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Option Care Health, Inc.",IL,Healthcare Provider,1891.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Grandview Family Medicine,UT,Healthcare Provider,13310.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
LifeSpring Home Care,OK,Healthcare Provider,7509.0,2026-04-06,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Under Investigation,0
"Rocky Mountain Associated Physicians, P.C.",UT,Healthcare Provider,50640.0,2026-04-03,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Village Heart Seller, PC d/b/a Village Heart & Vein Center",FL,Healthcare Provider,687.0,2026-04-03,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Southern Illinois Dermatology,IL,Healthcare Provider,160312.0,2026-04-02,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Interventional Pain Center, PLLC",TN,Healthcare Provider,3171.0,2026-03-31,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Waterford Surgical Center,MI,Healthcare Provider,9000.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
J. Arthur Trudeau Memorial Center,RI,Healthcare Provider,5630.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Austin Plastic and Reconstructive Surgery,TX,Healthcare Provider,4266.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Healthcare In Action,CA,Healthcare Provider,1143.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,"Email, Other",No,Under Investigation,0
Nacogdoches Memorial Hospital n,TX,Healthcare Provider,2507073.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Town of Apex, North Carolina",NC,Health Plan,970.0,2026-03-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
Lumio Dental,OK,Business Associate,500.0,2026-03-29,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Under Investigation,3
University Medical Center of Southern Nevada,NV,Healthcare Provider,1221.0,2026-03-28,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,Under Investigation,1
Glendora Surgery Center,CA,Healthcare Provider,501.0,2026-03-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Erie Family Health Centers,IL,Healthcare Provider,570000.0,2026-03-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Rocky Mountain Care,UT,Business Associate,500.0,2026-03-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Proxycare, Inc.",FL,Healthcare Provider,45196.0,2026-03-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,,Healthcare Provider,24236.0,2026-03-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Medi-Rents & Sales, Inc.",MD,Healthcare Provider,1524.0,2026-03-25,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Clarinda Regional Health Center,IA,Healthcare Provider,24341.0,2026-03-25,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
New York City Health and Hospitals Corporation,NY,Healthcare Provider,1800000.0,2026-03-24,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Coastal Carolina Health Care, PA",NC,Healthcare Provider,110304.0,2026-03-24,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Secure Health Plans of Georgia, LLC",GA,Business Associate,501.0,2026-03-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Rosch Visionary Systems, Inc.",NY,Business Associate,500.0,2026-03-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Mays Housecall Home Health, Inc.",TX,Healthcare Provider,5208.0,2026-03-21,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Under Investigation,0
Complete Eye Care dba Orem Eye Clinic,UT,Healthcare Provider,5800.0,2026-03-19,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",No,Under Investigation,0
New Horizons Behavioral Health,GA,Healthcare Provider,500.0,2026-03-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Stockton Cardiology Medical Group,CA,Healthcare Provider,90000.0,2026-03-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Navia Benefit Solutions, Inc.",WA,Business Associate,2151330.0,2026-03-18,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Under Investigation,3
The South Alabama Regional Planning Commission,AL,Business Associate,3043.0,2026-03-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"OpenLoop Health, Inc.",IA,Business Associate,716000.0,2026-03-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Coastal Skin Surgery & Dermatology,FL,Healthcare Provider,6173.0,2026-03-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Good Samaritan Health Center,GA,Healthcare Provider,10000.0,2026-03-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Renovo Chiropractic & Wellness,WA,Healthcare Provider,538.0,2026-03-16,2026,Theft,Theft,"Other, Paper/Films",No,Under Investigation,4
UPMC,PA,Healthcare Provider,687.0,2026-03-14,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Other,No,Under Investigation,1
Georgia Vascual Specialists PC,GA,Healthcare Provider,600.0,2026-03-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Trinity Health,MI,Business Associate,2740.0,2026-03-13,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,Under Investigation,3
"Bloom Circle, Inc. d/b/a Lena Health",TX,Business Associate,3651.0,2026-03-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
MedPeds Associates of Sarasota,FL,Healthcare Provider,22017.0,2026-03-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
East Carolina Anesthesia Associates,NC,Healthcare Provider,19408.0,2026-03-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Team Select,AZ,Healthcare Provider,949.0,2026-03-12,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",Yes,Under Investigation,0
illumifin Corporation,MN,Business Associate,5385.0,2026-03-10,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Delta Medical Systems,WI,Business Associate,1574.0,2026-03-10,2026,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Under Investigation,3
Community Health Action of Staten Island,NY,Healthcare Provider,501.0,2026-03-09,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Tampa Bay Dental Implants & Periodontics,FL,Healthcare Provider,6400.0,2026-03-08,2026,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,Under Investigation,0
Saint Anthony Hospital,IL,Healthcare Provider,146108.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Barrio Comprehensive Family Health Care Center,TX,Healthcare Provider,19971.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
County of Murray dba Murray County Medical Center,MN,Healthcare Provider,5073.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
North Texas Behavioral Health Authority,TX,Healthcare Provider,285086.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Exclusive Physicians PLLC,MI,Healthcare Provider,58000.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Cedar Valley Hospice,IA,Healthcare Provider,10666.0,2026-03-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Tieu Dental Corporation,CA,Healthcare Provider,8918.0,2026-03-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Longevity Health Plan,FL,Health Plan,15000.0,2026-03-04,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
Kin Counseling Services PLLC,CO,Healthcare Provider,500.0,2026-03-02,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Houston Dermatology Specialists,TX,Business Associate,648.0,2026-03-02,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Access Information Management Shared Services, LLC",MA,Business Associate,1522.0,2026-02-28,2026,Hacking/IT Incident,Hacking/IT Incident,Other,Yes,Under Investigation,3
Insurance ACE/Humana Inc.,KY,Health Plan,1000.0,2026-02-28,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
"Lakeside Pediatrics & Adolescent Medicine, PLLC",ID,Healthcare Provider,34154.0,2026-02-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)",NJ,Healthcare Provider,133862.0,2026-02-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
