Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
The Nebraska Medical Center,NE,Healthcare Provider,1311.0,2020-05-05,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
BJC Health System,MO,Business Associate,287876.0,2020-05-05,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
"Management and Network Services, LLC",OH,Business Associate,30132.0,2020-05-04,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,4824.0,2020-05-04,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
Saint Francis Healthcare Partners,CT,Business Associate,38529.0,2020-05-04,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Lisa Burkett DDS MS,TX,Healthcare Provider,818.0,2020-04-30,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Stamford Health,CT,Healthcare Provider,1255.0,2020-04-30,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Shands Lake Shore Regional Medical Center,FL,Healthcare Provider,651.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Tennova Healthcare Harton,TN,Healthcare Provider,1070.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Bayfront Health Port Charlotte,FL,Healthcare Provider,1162.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Poplar Bluff Regional Medical Center,MO,Healthcare Provider,1619.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Wilkes-Barre General Hospital,PA,Healthcare Provider,518.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Moses Taylor Hospital,PA,Healthcare Provider,1905.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Meridian Health Services Corp.,IN,Healthcare Provider,111372.0,2020-04-27,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
City of Detroit Health Department,MI,Healthcare Provider,1945.0,2020-04-27,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
Customized Computer Software,TX,Business Associate,500.0,2020-04-26,2020,Hacking/IT Incident,Hacking/IT Incident,Laptop,Yes,Archived,3
Daniel Bendetowicz MD PA,FL,Healthcare Provider,3314.0,2020-04-24,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
United Cerebral Palsy Heartland,MO,Healthcare Provider,576.0,2020-04-24,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Ascension Eastwood Clinics,MI,Healthcare Provider,999.0,2020-04-23,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Agility Center Orthopedics,AR,Healthcare Provider,13968.0,2020-04-22,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Psychiatric Associates of North Carolina, Professional Association",NC,Healthcare Provider,1081.0,2020-04-20,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Hebrew Home of Greater Washington,MD,Healthcare Provider,5693.0,2020-04-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Beaumont Health,MI,Healthcare Provider,112211.0,2020-04-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Houston Methodist Hospital,TX,Healthcare Provider,1987.0,2020-04-17,2020,Theft,Theft,Other Portable Electronic Device,No,Archived,4
"Good Samaritan Hospital, Inc.",CA,Healthcare Provider,233835.0,2020-04-17,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
John A. Grimaldi DO INC,CA,Healthcare Provider,911.0,2020-04-16,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Other",No,Archived,1
Advocate Aurora Health,WI,Healthcare Provider,27137.0,2020-04-16,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Medica Insurance Company,MN,Health Plan,802.0,2020-04-15,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
Medica Health Plans,MN,Health Plan,1710.0,2020-04-15,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
